ordem;codigo_sessao;modulo;nome_modulo;objetivo_modulo;referencia_v3;topico_macro;nivel;tipo_sessao;titulo_aula;conteudo_programado;pratica;entrega;criterio_aprovacao;observacao
76;M0.19.04;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Estrutura profissional do repositório de curso;base;Erros comuns, diagnóstico e perguntas de fixação;Estrutura profissional do repositório de curso - Erros comuns, diagnóstico e perguntas de fixação;README, docs, src, commits por aula, padrões de nome e organização. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;desafio aplicado, revisão técnica, perguntas de fixação e commit quando aplicável;entrega validada, documentação curta, critérios aprovados e Git limpo quando houver projeto;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
77;M0.20.01;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Checklist final do ambiente;base;Conceito, por que existe e vocabulário essencial;Checklist final do ambiente - Conceito, por que existe e vocabulário essencial;validar Java, Git, Maven, banco, Docker, IntelliJ, GitHub, documentação e rotina. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend.;leitura guiada, mapa mental, perguntas orais e registro no diário;anotações, respostas de fixação e checklist conceitual;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
78;M0.20.02;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Checklist final do ambiente;base;Exemplo mínimo digitado do zero;Checklist final do ambiente - Exemplo mínimo digitado do zero;validar Java, Git, Maven, banco, Docker, IntelliJ, GitHub, documentação e rotina. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado.;digitar/implementar/desenhar junto, executar quando houver código e comparar resultado;código ou desenho funcional com evidência do resultado;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
79;M0.20.03;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Checklist final do ambiente;base;Exemplo aplicado ao domínio corporativo;Checklist final do ambiente - Exemplo aplicado ao domínio corporativo;validar Java, Git, Maven, banco, Docker, IntelliJ, GitHub, documentação e rotina. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria.;digitar/implementar/desenhar junto, executar quando houver código e comparar resultado;código ou desenho funcional com evidência do resultado;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
80;M0.20.04;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Checklist final do ambiente;base;Erros comuns, diagnóstico e perguntas de fixação;Checklist final do ambiente - Erros comuns, diagnóstico e perguntas de fixação;validar Java, Git, Maven, banco, Docker, IntelliJ, GitHub, documentação e rotina. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;desafio aplicado, revisão técnica, perguntas de fixação e commit quando aplicável;entrega validada, documentação curta, critérios aprovados e Git limpo quando houver projeto;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
81;M1.01.01;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Primeiro programa Java destrinchado;base;Conceito, por que existe e vocabulário essencial;Primeiro programa Java destrinchado - Conceito, por que existe e vocabulário essencial;class, public, static, void, main, String[] args, System.out.println e execução. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend.;leitura guiada, mapa mental, perguntas orais e registro no diário;anotações, respostas de fixação e checklist conceitual;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
82;M1.01.02;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Primeiro programa Java destrinchado;base;Exemplo mínimo digitado do zero;Primeiro programa Java destrinchado - Exemplo mínimo digitado do zero;class, public, static, void, main, String[] args, System.out.println e execução. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado.;digitar/implementar/desenhar junto, executar quando houver código e comparar resultado;código ou desenho funcional com evidência do resultado;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
83;M1.01.03;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Primeiro programa Java destrinchado;base;Exemplo aplicado ao domínio corporativo;Primeiro programa Java destrinchado - Exemplo aplicado ao domínio corporativo;class, public, static, void, main, String[] args, System.out.println e execução. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria.;digitar/implementar/desenhar junto, executar quando houver código e comparar resultado;código ou desenho funcional com evidência do resultado;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
84;M1.01.04;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Primeiro programa Java destrinchado;base;Erros comuns, diagnóstico e perguntas de fixação;Primeiro programa Java destrinchado - Erros comuns, diagnóstico e perguntas de fixação;class, public, static, void, main, String[] args, System.out.println e execução. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;desafio aplicado, revisão técnica, perguntas de fixação e commit quando aplicável;entrega validada, documentação curta, critérios aprovados e Git limpo quando houver projeto;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
85;M1.02.01;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Blocos, chaves, indentação e leitura de código;base;Conceito, por que existe e vocabulário essencial;Blocos, chaves, indentação e leitura de código - Conceito, por que existe e vocabulário essencial;escopo visual, blocos aninhados, organização e formatação automática. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend.;leitura guiada, mapa mental, perguntas orais e registro no diário;anotações, respostas de fixação e checklist conceitual;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
86;M1.02.02;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Blocos, chaves, indentação e leitura de código;base;Exemplo mínimo digitado do zero;Blocos, chaves, indentação e leitura de código - Exemplo mínimo digitado do zero;escopo visual, blocos aninhados, organização e formatação automática. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado.;digitar/implementar/desenhar junto, executar quando houver código e comparar resultado;código ou desenho funcional com evidência do resultado;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
87;M1.02.03;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Blocos, chaves, indentação e leitura de código;base;Exemplo aplicado ao domínio corporativo;Blocos, chaves, indentação e leitura de código - Exemplo aplicado ao domínio corporativo;escopo visual, blocos aninhados, organização e formatação automática. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria.;digitar/implementar/desenhar junto, executar quando houver código e comparar resultado;código ou desenho funcional com evidência do resultado;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
88;M1.02.04;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Blocos, chaves, indentação e leitura de código;base;Erros comuns, diagnóstico e perguntas de fixação;Blocos, chaves, indentação e leitura de código - Erros comuns, diagnóstico e perguntas de fixação;escopo visual, blocos aninhados, organização e formatação automática. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;desafio aplicado, revisão técnica, perguntas de fixação e commit quando aplicável;entrega validada, documentação curta, critérios aprovados e Git limpo quando houver projeto;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
89;M1.03.01;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Comentários úteis e documentação inicial;base;Conceito, por que existe e vocabulário essencial;Comentários úteis e documentação inicial - Conceito, por que existe e vocabulário essencial;comentário de linha, bloco, quando comentar e quando melhorar o nome do código. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend.;leitura guiada, mapa mental, perguntas orais e registro no diário;anotações, respostas de fixação e checklist conceitual;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
90;M1.03.02;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Comentários úteis e documentação inicial;base;Exemplo mínimo digitado do zero;Comentários úteis e documentação inicial - Exemplo mínimo digitado do zero;comentário de linha, bloco, quando comentar e quando melhorar o nome do código. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado.;digitar/implementar/desenhar junto, executar quando houver código e comparar resultado;código ou desenho funcional com evidência do resultado;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
91;M1.03.03;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Comentários úteis e documentação inicial;base;Exemplo aplicado ao domínio corporativo;Comentários úteis e documentação inicial - Exemplo aplicado ao domínio corporativo;comentário de linha, bloco, quando comentar e quando melhorar o nome do código. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria.;digitar/implementar/desenhar junto, executar quando houver código e comparar resultado;código ou desenho funcional com evidência do resultado;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
92;M1.03.04;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Comentários úteis e documentação inicial;base;Erros comuns, diagnóstico e perguntas de fixação;Comentários úteis e documentação inicial - Erros comuns, diagnóstico e perguntas de fixação;comentário de linha, bloco, quando comentar e quando melhorar o nome do código. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;desafio aplicado, revisão técnica, perguntas de fixação e commit quando aplicável;entrega validada, documentação curta, critérios aprovados e Git limpo quando houver projeto;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
93;M1.04.01;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Variáveis e nomes profissionais;base;Conceito, por que existe e vocabulário essencial;Variáveis e nomes profissionais - Conceito, por que existe e vocabulário essencial;declaração, atribuição, alteração, intenção, camelCase e variáveis temporárias. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend.;leitura guiada, mapa mental, perguntas orais e registro no diário;anotações, respostas de fixação e checklist conceitual;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
94;M1.04.02;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Variáveis e nomes profissionais;base;Exemplo mínimo digitado do zero;Variáveis e nomes profissionais - Exemplo mínimo digitado do zero;declaração, atribuição, alteração, intenção, camelCase e variáveis temporárias. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado.;digitar/implementar/desenhar junto, executar quando houver código e comparar resultado;código ou desenho funcional com evidência do resultado;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
95;M1.04.03;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Variáveis e nomes profissionais;base;Exemplo aplicado ao domínio corporativo;Variáveis e nomes profissionais - Exemplo aplicado ao domínio corporativo;declaração, atribuição, alteração, intenção, camelCase e variáveis temporárias. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria.;digitar/implementar/desenhar junto, executar quando houver código e comparar resultado;código ou desenho funcional com evidência do resultado;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
96;M1.04.04;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Variáveis e nomes profissionais;base;Erros comuns, diagnóstico e perguntas de fixação;Variáveis e nomes profissionais - Erros comuns, diagnóstico e perguntas de fixação;declaração, atribuição, alteração, intenção, camelCase e variáveis temporárias. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;desafio aplicado, revisão técnica, perguntas de fixação e commit quando aplicável;entrega validada, documentação curta, critérios aprovados e Git limpo quando houver projeto;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
97;M1.05.01;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Tipos inteiros em Java;base;Conceito, por que existe e vocabulário essencial;Tipos inteiros em Java - Conceito, por que existe e vocabulário essencial;byte, short, int, long, limites, overflow, sufixo L e escolha correta. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend.;leitura guiada, mapa mental, perguntas orais e registro no diário;anotações, respostas de fixação e checklist conceitual;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
98;M1.05.02;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Tipos inteiros em Java;base;Exemplo mínimo digitado do zero;Tipos inteiros em Java - Exemplo mínimo digitado do zero;byte, short, int, long, limites, overflow, sufixo L e escolha correta. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado.;digitar/implementar/desenhar junto, executar quando houver código e comparar resultado;código ou desenho funcional com evidência do resultado;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
99;M1.05.03;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Tipos inteiros em Java;base;Exemplo aplicado ao domínio corporativo;Tipos inteiros em Java - Exemplo aplicado ao domínio corporativo;byte, short, int, long, limites, overflow, sufixo L e escolha correta. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria.;digitar/implementar/desenhar junto, executar quando houver código e comparar resultado;código ou desenho funcional com evidência do resultado;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
100;M1.05.04;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Tipos inteiros em Java;base;Erros comuns, diagnóstico e perguntas de fixação;Tipos inteiros em Java - Erros comuns, diagnóstico e perguntas de fixação;byte, short, int, long, limites, overflow, sufixo L e escolha correta. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;desafio aplicado, revisão técnica, perguntas de fixação e commit quando aplicável;entrega validada, documentação curta, critérios aprovados e Git limpo quando houver projeto;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
101;M1.06.01;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Tipos decimais e primeiras limitações;base;Conceito, por que existe e vocabulário essencial;Tipos decimais e primeiras limitações - Conceito, por que existe e vocabulário essencial;float, double, casas decimais, imprecisão e aviso sobre BigDecimal. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend.;leitura guiada, mapa mental, perguntas orais e registro no diário;anotações, respostas de fixação e checklist conceitual;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
102;M1.06.02;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Tipos decimais e primeiras limitações;base;Exemplo mínimo digitado do zero;Tipos decimais e primeiras limitações - Exemplo mínimo digitado do zero;float, double, casas decimais, imprecisão e aviso sobre BigDecimal. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado.;digitar/implementar/desenhar junto, executar quando houver código e comparar resultado;código ou desenho funcional com evidência do resultado;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
103;M1.06.03;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Tipos decimais e primeiras limitações;base;Exemplo aplicado ao domínio corporativo;Tipos decimais e primeiras limitações - Exemplo aplicado ao domínio corporativo;float, double, casas decimais, imprecisão e aviso sobre BigDecimal. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria.;digitar/implementar/desenhar junto, executar quando houver código e comparar resultado;código ou desenho funcional com evidência do resultado;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
104;M1.06.04;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Tipos decimais e primeiras limitações;base;Erros comuns, diagnóstico e perguntas de fixação;Tipos decimais e primeiras limitações - Erros comuns, diagnóstico e perguntas de fixação;float, double, casas decimais, imprecisão e aviso sobre BigDecimal. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;desafio aplicado, revisão técnica, perguntas de fixação e commit quando aplicável;entrega validada, documentação curta, critérios aprovados e Git limpo quando houver projeto;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
105;M1.07.01;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;boolean e regras verdadeiras/falsas;base;Conceito, por que existe e vocabulário essencial;boolean e regras verdadeiras/falsas - Conceito, por que existe e vocabulário essencial;flags, condições, nomes booleanos e leitura de regra de negócio. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend.;leitura guiada, mapa mental, perguntas orais e registro no diário;anotações, respostas de fixação e checklist conceitual;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
106;M1.07.02;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;boolean e regras verdadeiras/falsas;base;Exemplo mínimo digitado do zero;boolean e regras verdadeiras/falsas - Exemplo mínimo digitado do zero;flags, condições, nomes booleanos e leitura de regra de negócio. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado.;digitar/implementar/desenhar junto, executar quando houver código e comparar resultado;código ou desenho funcional com evidência do resultado;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
107;M1.07.03;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;boolean e regras verdadeiras/falsas;base;Exemplo aplicado ao domínio corporativo;boolean e regras verdadeiras/falsas - Exemplo aplicado ao domínio corporativo;flags, condições, nomes booleanos e leitura de regra de negócio. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria.;digitar/implementar/desenhar junto, executar quando houver código e comparar resultado;código ou desenho funcional com evidência do resultado;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
