documento_mentor_proposto;arquivo_mentor_proposto;modulo;nome_modulo;topico_macro;primeira_sessao_v4_1;ultima_sessao_v4_1;quantidade_sessoes_cobertas;tipos_sessao_cobertos;conteudo_consolidado_da_grade;regra_de_cobertura
115;115_M4_11_AGREGACAO_E_RELACIONAMENTO.md;M4;Orientação a Objetos de verdade e modelagem de domínio;Agregação e relacionamento;M4.11.01;M4.11.04;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;referências, dono, ciclo de vida e clareza. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | referências, dono, ciclo de vida e clareza. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | referências, dono, ciclo de vida e clareza. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | referências, dono, ciclo de vida e clareza. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
116;116_M4_12_HERANCA_COM_RESPONSABILIDADE.md;M4;Orientação a Objetos de verdade e modelagem de domínio;Herança com responsabilidade;M4.12.01;M4.12.04;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;extends, super, sobrescrita, riscos e Liskov inicial. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | extends, super, sobrescrita, riscos e Liskov inicial. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | extends, super, sobrescrita, riscos e Liskov inicial. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | extends, super, sobrescrita, riscos e Liskov inicial. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
117;117_M4_13_POLIMORFISMO.md;M4;Orientação a Objetos de verdade e modelagem de domínio;Polimorfismo;M4.13.01;M4.13.04;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;referência de supertipo, chamada dinâmica e extensibilidade. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | referência de supertipo, chamada dinâmica e extensibilidade. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | referência de supertipo, chamada dinâmica e extensibilidade. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | referência de supertipo, chamada dinâmica e extensibilidade. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
118;118_M4_14_CLASSE_ABSTRATA.md;M4;Orientação a Objetos de verdade e modelagem de domínio;Classe abstrata;M4.14.01;M4.14.04;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;comportamento comum, método abstrato e limites. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | comportamento comum, método abstrato e limites. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | comportamento comum, método abstrato e limites. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | comportamento comum, método abstrato e limites. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
119;119_M4_15_INTERFACE.md;M4;Orientação a Objetos de verdade e modelagem de domínio;Interface;M4.15.01;M4.15.04;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;contrato, implementação, default method e dependência por abstração. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | contrato, implementação, default method e dependência por abstração. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | contrato, implementação, default method e dependência por abstração. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | contrato, implementação, default method e dependência por abstração. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
120;120_M4_16_ENUM_NO_DOMINIO.md;M4;Orientação a Objetos de verdade e modelagem de domínio;Enum no domínio;M4.16.01;M4.16.04;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;status, transições, códigos e descrição. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | status, transições, códigos e descrição. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | status, transições, códigos e descrição. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | status, transições, códigos e descrição. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
121;121_M4_17_RECORD_COMO_DTO_VALOR_SIMPLES.md;M4;Orientação a Objetos de verdade e modelagem de domínio;Record como DTO/valor simples;M4.17.01;M4.17.04;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;imutabilidade, leitura e diferença para entidade. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | imutabilidade, leitura e diferença para entidade. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | imutabilidade, leitura e diferença para entidade. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | imutabilidade, leitura e diferença para entidade. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
122;122_M4_18_EQUALS_E_HASHCODE_INICIAIS.md;M4;Orientação a Objetos de verdade e modelagem de domínio;equals e hashCode iniciais;M4.18.01;M4.18.04;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;identidade, igualdade de valor, CPF/código e coleções futuras. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | identidade, igualdade de valor, CPF/código e coleções futuras. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | identidade, igualdade de valor, CPF/código e coleções futuras. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | identidade, igualdade de valor, CPF/código e coleções futuras. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
123;123_M4_19_TOSTRING_COM_CRITERIO.md;M4;Orientação a Objetos de verdade e modelagem de domínio;toString com critério;M4.19.01;M4.19.04;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;debug, logs e cuidado com dados sensíveis. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | debug, logs e cuidado com dados sensíveis. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | debug, logs e cuidado com dados sensíveis. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | debug, logs e cuidado com dados sensíveis. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
124;124_M4_20_PACOTES_E_ORGANIZACAO_OO.md;M4;Orientação a Objetos de verdade e modelagem de domínio;Pacotes e organização OO;M4.20.01;M4.20.04;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;domain, service, repository fake, app e util. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | domain, service, repository fake, app e util. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | domain, service, repository fake, app e util. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | domain, service, repository fake, app e util. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
125;125_M4_21_SERVICE_INICIAL_SEM_SPRING.md;M4;Orientação a Objetos de verdade e modelagem de domínio;Service inicial sem Spring;M4.21.01;M4.21.04;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;classe de regra, orquestração e separação de domínio. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | classe de regra, orquestração e separação de domínio. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | classe de regra, orquestração e separação de domínio. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | classe de regra, orquestração e separação de domínio. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
126;126_M4_22_REPOSITORY_FAKE_EM_MEMORIA.md;M4;Orientação a Objetos de verdade e modelagem de domínio;Repository fake em memória;M4.22.01;M4.22.04;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;contrato simples, armazenamento temporário e preparação para banco. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | contrato simples, armazenamento temporário e preparação para banco. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | contrato simples, armazenamento temporário e preparação para banco. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | contrato simples, armazenamento temporário e preparação para banco. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
127;127_M4_23_DTO_INICIAL_SEM_FRAMEWORK.md;M4;Orientação a Objetos de verdade e modelagem de domínio;DTO inicial sem framework;M4.23.01;M4.23.04;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;entrada, saída, mapeamento manual e separação. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | entrada, saída, mapeamento manual e separação. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | entrada, saída, mapeamento manual e separação. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | entrada, saída, mapeamento manual e separação. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
128;128_M4_24_ANTI_PADROES_OO_INICIAIS.md;M4;Orientação a Objetos de verdade e modelagem de domínio;Anti-padrões OO iniciais;M4.24.01;M4.24.04;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;classe Deus, objeto anêmico, herança errada, setter em tudo. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | classe Deus, objeto anêmico, herança errada, setter em tudo. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | classe Deus, objeto anêmico, herança errada, setter em tudo. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | classe Deus, objeto anêmico, herança errada, setter em tudo. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
129;129_M4_25_PROJETO_SISTEMA_DE_PEDIDOS_OO.md;M4;Orientação a Objetos de verdade e modelagem de domínio;Projeto sistema de pedidos OO;M4.25.01;M4.25.04;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;Cliente, Produto, Pedido, ItemPedido, Pagamento, Status e regras. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | Cliente, Produto, Pedido, ItemPedido, Pagamento, Status e regras. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | Cliente, Produto, Pedido, ItemPedido, Pagamento, Status e regras. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | Cliente, Produto, Pedido, ItemPedido, Pagamento, Status e regras. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
130;130_M4_26_PROJETO_OS_ORIENTADO_A_OBJETOS.md;M4;Orientação a Objetos de verdade e modelagem de domínio;Projeto OS orientado a objetos;M4.26.01;M4.26.04;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;OrdemServico, Atividade, ClienteCorporativo, Historico e status. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | OrdemServico, Atividade, ClienteCorporativo, Historico e status. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | OrdemServico, Atividade, ClienteCorporativo, Historico e status. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | OrdemServico, Atividade, ClienteCorporativo, Historico e status. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
131;131_M4_27_REVISAO_OO_COM_CODE_REVIEW.md;M4;Orientação a Objetos de verdade e modelagem de domínio;Revisão OO com code review;M4.27.01;M4.27.04;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;nomes, responsabilidades, encapsulamento, invariantes e refatoração. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | nomes, responsabilidades, encapsulamento, invariantes e refatoração. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | nomes, responsabilidades, encapsulamento, invariantes e refatoração. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | nomes, responsabilidades, encapsulamento, invariantes e refatoração. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
132;132_M5_01_LIMITACOES_DE_ARRAYS_E_ENTRADA_EM_COLLECTIONS.md;M5;Collections, Generics, Streams e Java moderno;Limitações de arrays e entrada em Collections;M5.01.01;M5.01.04;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;tamanho fixo, operações manuais, List e abstrações. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | tamanho fixo, operações manuais, List e abstrações. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | tamanho fixo, operações manuais, List e abstrações. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | tamanho fixo, operações manuais, List e abstrações. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
133;133_M5_02_LIST_E_ARRAYLIST.md;M5;Collections, Generics, Streams e Java moderno;List e ArrayList;M5.02.01;M5.02.04;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;add, get, set, remove, size, contains, iteração e ordem. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | add, get, set, remove, size, contains, iteração e ordem. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | add, get, set, remove, size, contains, iteração e ordem. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | add, get, set, remove, size, contains, iteração e ordem. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
134;134_M5_03_LINKEDLIST_E_COMPARACAO_COM_ARRAYLIST.md;M5;Collections, Generics, Streams e Java moderno;LinkedList e comparação com ArrayList;M5.03.01;M5.03.04;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;quando aparece, custos, fila/deque e cuidados. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | quando aparece, custos, fila/deque e cuidados. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | quando aparece, custos, fila/deque e cuidados. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | quando aparece, custos, fila/deque e cuidados. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
135;135_M5_04_SET_E_HASHSET.md;M5;Collections, Generics, Streams e Java moderno;Set e HashSet;M5.04.01;M5.04.04;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;unicidade, contains, duplicidade e uso por documento/código. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | unicidade, contains, duplicidade e uso por documento/código. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | unicidade, contains, duplicidade e uso por documento/código. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | unicidade, contains, duplicidade e uso por documento/código. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
136;136_M5_05_LINKEDHASHSET_E_TREESET.md;M5;Collections, Generics, Streams e Java moderno;LinkedHashSet e TreeSet;M5.05.01;M5.05.04;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;ordem de inserção, ordenação natural e custo. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | ordem de inserção, ordenação natural e custo. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | ordem de inserção, ordenação natural e custo. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | ordem de inserção, ordenação natural e custo. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
137;137_M5_06_MAP_E_HASHMAP.md;M5;Collections, Generics, Streams e Java moderno;Map e HashMap;M5.06.01;M5.06.04;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;chave-valor, put, get, containsKey e índice por código. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | chave-valor, put, get, containsKey e índice por código. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | chave-valor, put, get, containsKey e índice por código. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | chave-valor, put, get, containsKey e índice por código. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
138;138_M5_07_LINKEDHASHMAP_E_TREEMAP.md;M5;Collections, Generics, Streams e Java moderno;LinkedHashMap e TreeMap;M5.07.01;M5.07.04;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;ordem, ordenação de chaves e relatórios. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | ordem, ordenação de chaves e relatórios. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | ordem, ordenação de chaves e relatórios. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | ordem, ordenação de chaves e relatórios. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
139;139_M5_08_QUEUE_E_DEQUE.md;M5;Collections, Generics, Streams e Java moderno;Queue e Deque;M5.08.01;M5.08.04;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;fila, pilha, processamento e casos de uso. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | fila, pilha, processamento e casos de uso. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | fila, pilha, processamento e casos de uso. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | fila, pilha, processamento e casos de uso. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
140;140_M5_09_PRIORITYQUEUE.md;M5;Collections, Generics, Streams e Java moderno;PriorityQueue;M5.09.01;M5.09.04;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;prioridade, comparador e processamento ordenado. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | prioridade, comparador e processamento ordenado. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | prioridade, comparador e processamento ordenado. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | prioridade, comparador e processamento ordenado. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
141;141_M5_10_BIG_O_PARA_BACKEND.md;M5;Collections, Generics, Streams e Java moderno;Big-O para backend;M5.10.01;M5.10.04;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;O(1), O(n), O(log n), escolha de estrutura e impacto em performance. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | O(1), O(n), O(log n), escolha de estrutura e impacto em performance. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | O(1), O(n), O(log n), escolha de estrutura e impacto em performance. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | O(1), O(n), O(log n), escolha de estrutura e impacto em performance. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
142;142_M5_11_EQUALS_HASHCODE_PROFUNDO.md;M5;Collections, Generics, Streams e Java moderno;equals/hashCode profundo;M5.11.01;M5.11.04;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;contrato, mutabilidade, Set/Map e bugs difíceis. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | contrato, mutabilidade, Set/Map e bugs difíceis. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | contrato, mutabilidade, Set/Map e bugs difíceis. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | contrato, mutabilidade, Set/Map e bugs difíceis. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
143;143_M5_12_COMPARABLE_E_COMPARATOR.md;M5;Collections, Generics, Streams e Java moderno;Comparable e Comparator;M5.12.01;M5.12.04;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;ordenação natural, customizada, composição e nulls. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | ordenação natural, customizada, composição e nulls. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | ordenação natural, customizada, composição e nulls. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | ordenação natural, customizada, composição e nulls. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
144;144_M5_13_GENERICS_EM_CLASSES.md;M5;Collections, Generics, Streams e Java moderno;Generics em classes;M5.13.01;M5.13.04;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;type safety, Repository<T>, Response<T> e reuso. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | type safety, Repository<T>, Response<T> e reuso. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | type safety, Repository<T>, Response<T> e reuso. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | type safety, Repository<T>, Response<T> e reuso. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
145;145_M5_14_GENERICS_EM_METODOS.md;M5;Collections, Generics, Streams e Java moderno;Generics em métodos;M5.14.01;M5.14.04;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;métodos genéricos, bounds e legibilidade. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | métodos genéricos, bounds e legibilidade. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | métodos genéricos, bounds e legibilidade. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | métodos genéricos, bounds e legibilidade. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
146;146_M5_15_WILDCARDS.md;M5;Collections, Generics, Streams e Java moderno;Wildcards;M5.15.01;M5.15.04;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;? extends, ? super, PECS e quando evitar complexidade. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | ? extends, ? super, PECS e quando evitar complexidade. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | ? extends, ? super, PECS e quando evitar complexidade. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | ? extends, ? super, PECS e quando evitar complexidade. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
147;147_M5_16_OPTIONAL_COM_CRITERIO.md;M5;Collections, Generics, Streams e Java moderno;Optional com critério;M5.16.01;M5.16.04;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;retorno ausente, orElseThrow, anti-padrões e service. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | retorno ausente, orElseThrow, anti-padrões e service. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | retorno ausente, orElseThrow, anti-padrões e service. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | retorno ausente, orElseThrow, anti-padrões e service. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
148;148_M5_17_STREAM_API_FILTER_MAP.md;M5;Collections, Generics, Streams e Java moderno;Stream API filter/map;M5.17.01;M5.17.04;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;pipeline, imutabilidade, clareza e cuidado com debug. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | pipeline, imutabilidade, clareza e cuidado com debug. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | pipeline, imutabilidade, clareza e cuidado com debug. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | pipeline, imutabilidade, clareza e cuidado com debug. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
