documento;arquivo;codigo_topico;modulo;nome_modulo;objetivo_modulo;referencia_v3;topico_macro;nivel;sessoes_v4_1_fundidas;tipos_sessao_v4_1;conteudos_v4_1;decisao_pedagogica
107;107_M3_11_REFATORACAO_EXTRACT_METHOD_NO_INTELLIJ.md;M3.11;M3;Métodos, organização procedural e projetos console;Transformar código solto em programas organizados, com funções pequenas, responsabilidades claras, leitura crítica e projetos console robustos antes da orientação a objetos.;Aulas v3 19, 21, 22 e 23 expandidas;Refatoração Extract Method no IntelliJ;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;seleção correta, nome, parâmetros gerados e revisão. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | seleção correta, nome, parâmetros gerados e revisão. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | seleção correta, nome, parâmetros gerados e revisão. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | seleção correta, nome, parâmetros gerados e revisão. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
108;108_M3_12_MINI_ARQUITETURA_PROCEDURAL.md;M3.12;M3;Métodos, organização procedural e projetos console;Transformar código solto em programas organizados, com funções pequenas, responsabilidades claras, leitura crítica e projetos console robustos antes da orientação a objetos.;Aulas v3 19, 21, 22 e 23 expandidas;Mini arquitetura procedural;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;Main chamando funções por responsabilidade antes de classes. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | Main chamando funções por responsabilidade antes de classes. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | Main chamando funções por responsabilidade antes de classes. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | Main chamando funções por responsabilidade antes de classes. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
109;109_M3_13_PROJETO_CALCULADORA_CONSOLE_REVISITADA.md;M3.13;M3;Métodos, organização procedural e projetos console;Transformar código solto em programas organizados, com funções pequenas, responsabilidades claras, leitura crítica e projetos console robustos antes da orientação a objetos.;Aulas v3 19, 21, 22 e 23 expandidas;Projeto calculadora console revisitada;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;operações em métodos, histórico, validação e relatório. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | operações em métodos, histórico, validação e relatório. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | operações em métodos, histórico, validação e relatório. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | operações em métodos, histórico, validação e relatório. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
110;110_M3_14_PROJETO_PROCESSAMENTO_DE_OS_CONSOLE.md;M3.14;M3;Métodos, organização procedural e projetos console;Transformar código solto em programas organizados, com funções pequenas, responsabilidades claras, leitura crítica e projetos console robustos antes da orientação a objetos.;Aulas v3 19, 21, 22 e 23 expandidas;Projeto processamento de OS console;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;atividades, status, valores, contadores e menu. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | atividades, status, valores, contadores e menu. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | atividades, status, valores, contadores e menu. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | atividades, status, valores, contadores e menu. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
111;111_M3_15_REVISAO_FINAL_DE_FUNDAMENTOS_ANTES_DE_OO.md;M3.15;M3;Métodos, organização procedural e projetos console;Transformar código solto em programas organizados, com funções pequenas, responsabilidades claras, leitura crítica e projetos console robustos antes da orientação a objetos.;Aulas v3 19, 21, 22 e 23 expandidas;Revisão final de fundamentos antes de OO;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;prova prática, perguntas orais, refatoração e Git limpo. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | prova prática, perguntas orais, refatoração e Git limpo. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | prova prática, perguntas orais, refatoração e Git limpo. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | prova prática, perguntas orais, refatoração e Git limpo. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
112;112_M4_01_PENSAMENTO_ORIENTADO_A_OBJETOS.md;M4.01;M4;Orientação a Objetos de verdade e modelagem de domínio;Ensinar POO como modelagem de problema real, não só sintaxe de classe, preparando domínio empresarial, encapsulamento e objetos válidos.;M2 - Orientação a Objetos de verdade;Pensamento orientado a objetos;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;classe, objeto, estado, comportamento, identidade e comparação com procedural. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | classe, objeto, estado, comportamento, identidade e comparação com procedural. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | classe, objeto, estado, comportamento, identidade e comparação com procedural. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | classe, objeto, estado, comportamento, identidade e comparação com procedural. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
113;113_M4_02_MODELAGEM_NO_PAPEL.md;M4.02;M4;Orientação a Objetos de verdade e modelagem de domínio;Ensinar POO como modelagem de problema real, não só sintaxe de classe, preparando domínio empresarial, encapsulamento e objetos válidos.;M2 - Orientação a Objetos de verdade;Modelagem no papel;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;substantivos, verbos, responsabilidades, entidades e regras. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | substantivos, verbos, responsabilidades, entidades e regras. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | substantivos, verbos, responsabilidades, entidades e regras. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | substantivos, verbos, responsabilidades, entidades e regras. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
114;114_M4_03_CLASSE_E_OBJETO_EM_JAVA.md;M4.03;M4;Orientação a Objetos de verdade e modelagem de domínio;Ensinar POO como modelagem de problema real, não só sintaxe de classe, preparando domínio empresarial, encapsulamento e objetos válidos.;M2 - Orientação a Objetos de verdade;Classe e objeto em Java;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;new, instância, atributos, métodos e this. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | new, instância, atributos, métodos e this. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | new, instância, atributos, métodos e this. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | new, instância, atributos, métodos e this. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
115;115_M4_04_ATRIBUTOS_COM_SIGNIFICADO.md;M4.04;M4;Orientação a Objetos de verdade e modelagem de domínio;Ensinar POO como modelagem de problema real, não só sintaxe de classe, preparando domínio empresarial, encapsulamento e objetos válidos.;M2 - Orientação a Objetos de verdade;Atributos com significado;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;estado mínimo, nomes, tipos, invariantes e dados obrigatórios. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | estado mínimo, nomes, tipos, invariantes e dados obrigatórios. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | estado mínimo, nomes, tipos, invariantes e dados obrigatórios. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | estado mínimo, nomes, tipos, invariantes e dados obrigatórios. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
116;116_M4_05_METODOS_DE_COMPORTAMENTO.md;M4.05;M4;Orientação a Objetos de verdade e modelagem de domínio;Ensinar POO como modelagem de problema real, não só sintaxe de classe, preparando domínio empresarial, encapsulamento e objetos válidos.;M2 - Orientação a Objetos de verdade;Métodos de comportamento;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;objeto que faz, não objeto anêmico, regra dentro do domínio. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | objeto que faz, não objeto anêmico, regra dentro do domínio. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | objeto que faz, não objeto anêmico, regra dentro do domínio. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | objeto que faz, não objeto anêmico, regra dentro do domínio. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
117;117_M4_06_CONSTRUTOR_PADRAO_E_PARAMETRIZADO.md;M4.06;M4;Orientação a Objetos de verdade e modelagem de domínio;Ensinar POO como modelagem de problema real, não só sintaxe de classe, preparando domínio empresarial, encapsulamento e objetos válidos.;M2 - Orientação a Objetos de verdade;Construtor padrão e parametrizado;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;nascimento do objeto, obrigatórios, sobrecarga e legibilidade. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | nascimento do objeto, obrigatórios, sobrecarga e legibilidade. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | nascimento do objeto, obrigatórios, sobrecarga e legibilidade. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | nascimento do objeto, obrigatórios, sobrecarga e legibilidade. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
118;118_M4_07_ENCAPSULAMENTO_COM_PRIVATE.md;M4.07;M4;Orientação a Objetos de verdade e modelagem de domínio;Ensinar POO como modelagem de problema real, não só sintaxe de classe, preparando domínio empresarial, encapsulamento e objetos válidos.;M2 - Orientação a Objetos de verdade;Encapsulamento com private;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;proteção de estado, getters, setters e métodos de intenção. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | proteção de estado, getters, setters e métodos de intenção. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | proteção de estado, getters, setters e métodos de intenção. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | proteção de estado, getters, setters e métodos de intenção. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
119;119_M4_08_VALIDACAO_DENTRO_DO_OBJETO.md;M4.08;M4;Orientação a Objetos de verdade e modelagem de domínio;Ensinar POO como modelagem de problema real, não só sintaxe de classe, preparando domínio empresarial, encapsulamento e objetos válidos.;M2 - Orientação a Objetos de verdade;Validação dentro do objeto;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;impedir estado inválido, mensagens e exceções futuras. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | impedir estado inválido, mensagens e exceções futuras. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | impedir estado inválido, mensagens e exceções futuras. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | impedir estado inválido, mensagens e exceções futuras. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
120;120_M4_09_IMUTABILIDADE_APLICADA.md;M4.09;M4;Orientação a Objetos de verdade e modelagem de domínio;Ensinar POO como modelagem de problema real, não só sintaxe de classe, preparando domínio empresarial, encapsulamento e objetos válidos.;M2 - Orientação a Objetos de verdade;Imutabilidade aplicada;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;final, ausência de setter, objetos de valor e segurança. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | final, ausência de setter, objetos de valor e segurança. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | final, ausência de setter, objetos de valor e segurança. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | final, ausência de setter, objetos de valor e segurança. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
121;121_M4_10_COMPOSICAO.md;M4.10;M4;Orientação a Objetos de verdade e modelagem de domínio;Ensinar POO como modelagem de problema real, não só sintaxe de classe, preparando domínio empresarial, encapsulamento e objetos válidos.;M2 - Orientação a Objetos de verdade;Composição;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;objeto dentro de objeto, Pedido/ItemPedido, OS/Atividade. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | objeto dentro de objeto, Pedido/ItemPedido, OS/Atividade. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | objeto dentro de objeto, Pedido/ItemPedido, OS/Atividade. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | objeto dentro de objeto, Pedido/ItemPedido, OS/Atividade. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
122;122_M4_11_AGREGACAO_E_RELACIONAMENTO.md;M4.11;M4;Orientação a Objetos de verdade e modelagem de domínio;Ensinar POO como modelagem de problema real, não só sintaxe de classe, preparando domínio empresarial, encapsulamento e objetos válidos.;M2 - Orientação a Objetos de verdade;Agregação e relacionamento;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;referências, dono, ciclo de vida e clareza. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | referências, dono, ciclo de vida e clareza. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | referências, dono, ciclo de vida e clareza. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | referências, dono, ciclo de vida e clareza. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
123;123_M4_12_HERANCA_COM_RESPONSABILIDADE.md;M4.12;M4;Orientação a Objetos de verdade e modelagem de domínio;Ensinar POO como modelagem de problema real, não só sintaxe de classe, preparando domínio empresarial, encapsulamento e objetos válidos.;M2 - Orientação a Objetos de verdade;Herança com responsabilidade;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;extends, super, sobrescrita, riscos e Liskov inicial. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | extends, super, sobrescrita, riscos e Liskov inicial. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | extends, super, sobrescrita, riscos e Liskov inicial. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | extends, super, sobrescrita, riscos e Liskov inicial. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
124;124_M4_13_POLIMORFISMO.md;M4.13;M4;Orientação a Objetos de verdade e modelagem de domínio;Ensinar POO como modelagem de problema real, não só sintaxe de classe, preparando domínio empresarial, encapsulamento e objetos válidos.;M2 - Orientação a Objetos de verdade;Polimorfismo;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;referência de supertipo, chamada dinâmica e extensibilidade. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | referência de supertipo, chamada dinâmica e extensibilidade. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | referência de supertipo, chamada dinâmica e extensibilidade. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | referência de supertipo, chamada dinâmica e extensibilidade. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
125;125_M4_14_CLASSE_ABSTRATA.md;M4.14;M4;Orientação a Objetos de verdade e modelagem de domínio;Ensinar POO como modelagem de problema real, não só sintaxe de classe, preparando domínio empresarial, encapsulamento e objetos válidos.;M2 - Orientação a Objetos de verdade;Classe abstrata;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;comportamento comum, método abstrato e limites. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | comportamento comum, método abstrato e limites. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | comportamento comum, método abstrato e limites. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | comportamento comum, método abstrato e limites. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
126;126_M4_15_INTERFACE.md;M4.15;M4;Orientação a Objetos de verdade e modelagem de domínio;Ensinar POO como modelagem de problema real, não só sintaxe de classe, preparando domínio empresarial, encapsulamento e objetos válidos.;M2 - Orientação a Objetos de verdade;Interface;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;contrato, implementação, default method e dependência por abstração. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | contrato, implementação, default method e dependência por abstração. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | contrato, implementação, default method e dependência por abstração. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | contrato, implementação, default method e dependência por abstração. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
127;127_M4_16_ENUM_NO_DOMINIO.md;M4.16;M4;Orientação a Objetos de verdade e modelagem de domínio;Ensinar POO como modelagem de problema real, não só sintaxe de classe, preparando domínio empresarial, encapsulamento e objetos válidos.;M2 - Orientação a Objetos de verdade;Enum no domínio;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;status, transições, códigos e descrição. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | status, transições, códigos e descrição. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | status, transições, códigos e descrição. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | status, transições, códigos e descrição. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
128;128_M4_17_RECORD_COMO_DTO_VALOR_SIMPLES.md;M4.17;M4;Orientação a Objetos de verdade e modelagem de domínio;Ensinar POO como modelagem de problema real, não só sintaxe de classe, preparando domínio empresarial, encapsulamento e objetos válidos.;M2 - Orientação a Objetos de verdade;Record como DTO/valor simples;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;imutabilidade, leitura e diferença para entidade. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | imutabilidade, leitura e diferença para entidade. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | imutabilidade, leitura e diferença para entidade. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | imutabilidade, leitura e diferença para entidade. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
129;129_M4_18_EQUALS_E_HASHCODE_INICIAIS.md;M4.18;M4;Orientação a Objetos de verdade e modelagem de domínio;Ensinar POO como modelagem de problema real, não só sintaxe de classe, preparando domínio empresarial, encapsulamento e objetos válidos.;M2 - Orientação a Objetos de verdade;equals e hashCode iniciais;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;identidade, igualdade de valor, CPF/código e coleções futuras. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | identidade, igualdade de valor, CPF/código e coleções futuras. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | identidade, igualdade de valor, CPF/código e coleções futuras. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | identidade, igualdade de valor, CPF/código e coleções futuras. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
130;130_M4_19_TOSTRING_COM_CRITERIO.md;M4.19;M4;Orientação a Objetos de verdade e modelagem de domínio;Ensinar POO como modelagem de problema real, não só sintaxe de classe, preparando domínio empresarial, encapsulamento e objetos válidos.;M2 - Orientação a Objetos de verdade;toString com critério;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;debug, logs e cuidado com dados sensíveis. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | debug, logs e cuidado com dados sensíveis. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | debug, logs e cuidado com dados sensíveis. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | debug, logs e cuidado com dados sensíveis. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
131;131_M4_20_PACOTES_E_ORGANIZACAO_OO.md;M4.20;M4;Orientação a Objetos de verdade e modelagem de domínio;Ensinar POO como modelagem de problema real, não só sintaxe de classe, preparando domínio empresarial, encapsulamento e objetos válidos.;M2 - Orientação a Objetos de verdade;Pacotes e organização OO;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;domain, service, repository fake, app e util. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | domain, service, repository fake, app e util. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | domain, service, repository fake, app e util. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | domain, service, repository fake, app e util. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
132;132_M4_21_SERVICE_INICIAL_SEM_SPRING.md;M4.21;M4;Orientação a Objetos de verdade e modelagem de domínio;Ensinar POO como modelagem de problema real, não só sintaxe de classe, preparando domínio empresarial, encapsulamento e objetos válidos.;M2 - Orientação a Objetos de verdade;Service inicial sem Spring;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;classe de regra, orquestração e separação de domínio. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | classe de regra, orquestração e separação de domínio. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | classe de regra, orquestração e separação de domínio. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | classe de regra, orquestração e separação de domínio. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
133;133_M4_22_REPOSITORY_FAKE_EM_MEMORIA.md;M4.22;M4;Orientação a Objetos de verdade e modelagem de domínio;Ensinar POO como modelagem de problema real, não só sintaxe de classe, preparando domínio empresarial, encapsulamento e objetos válidos.;M2 - Orientação a Objetos de verdade;Repository fake em memória;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;contrato simples, armazenamento temporário e preparação para banco. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | contrato simples, armazenamento temporário e preparação para banco. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | contrato simples, armazenamento temporário e preparação para banco. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | contrato simples, armazenamento temporário e preparação para banco. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
134;134_M4_23_DTO_INICIAL_SEM_FRAMEWORK.md;M4.23;M4;Orientação a Objetos de verdade e modelagem de domínio;Ensinar POO como modelagem de problema real, não só sintaxe de classe, preparando domínio empresarial, encapsulamento e objetos válidos.;M2 - Orientação a Objetos de verdade;DTO inicial sem framework;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;entrada, saída, mapeamento manual e separação. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | entrada, saída, mapeamento manual e separação. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | entrada, saída, mapeamento manual e separação. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | entrada, saída, mapeamento manual e separação. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
135;135_M4_24_ANTI_PADROES_OO_INICIAIS.md;M4.24;M4;Orientação a Objetos de verdade e modelagem de domínio;Ensinar POO como modelagem de problema real, não só sintaxe de classe, preparando domínio empresarial, encapsulamento e objetos válidos.;M2 - Orientação a Objetos de verdade;Anti-padrões OO iniciais;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;classe Deus, objeto anêmico, herança errada, setter em tudo. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | classe Deus, objeto anêmico, herança errada, setter em tudo. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | classe Deus, objeto anêmico, herança errada, setter em tudo. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | classe Deus, objeto anêmico, herança errada, setter em tudo. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
